"Year","wk","brand","country","channel","fc","season","salesUnits","air","aur","auc","recUnits","recCost","recRtl","recAIR","recAUC","sohAdjust","storeInv","dcInv","transIn","transOut","RtlSales","Cogs"
2017,1,"Crazy 8","USA","Web","GY C8 17 SPRING TRANS","Spring",2090,$20.58,$9.96,$4.84,,,,,,-16,105662,,2117,2128,$20824.00,$10109.00
2017,1,"Crazy 8","USA","Web","GY C8 17 SWIM 1","Spring",297,$18.08,$12.94,$4.53,,,,,,-4591,31984,,297,297,$3842.00,$1345.00
2017,1,"Crazy 8","USA","Web","GY C8 17 SWIM 2","Spring",,$0.00,$0.00,$0.00,25248,$108845.02,$436193.24,$17.28,$4.31,,25248,,,,,
2017,1,"Crazy 8","USA","Web","GY C8 17 VDAY CAP","Spring",1152,$17.65,$9.47,$3.88,,,,,,17,16559,,1164,1161,$10912.00,$4472.00
2017,1,"Crazy 8","USA","Web","GY C8 18 UNIFORM CAP","Basics",4,$16.88,$12.25,$4.25,,,,,,,845,,4,4,$49.00,$17.00
2017,1,"Crazy 8","USA","Web","GY C8 YRLY BASICS","Basics",794,$14.51,$10.16,$4.08,,,,,,24,118471,,821,822,$8065.00,$3236.00
2017,1,"Crazy 8","USA","Web","GY C8 YRLY DENIM","Basics",3182,$19.48,$8.75,$5.57,,,,,,283,175318,,3332,3420,$27852.00,$17730.00
2017,1,"Crazy 8","USA","Web","Old","Old",46982,$16.37,$7.08,$3.71,30111,$108265.75,$614431.68,$20.41,$3.60,-12721,1604019,,50004,48564,$332634.00,$174373.00
2017,1,"Gymboree","Canada","Retail","GY 17 DRSY CAP","Spring",3138,$37.93,$25.88,$6.75,,,,,,-3,106730,,9049,,$81197.00,$21190.00
2017,1,"Gymboree","Canada","Retail","GY 17 JAN CAP","Winter",7024,$29.73,$11.95,$5.54,,,,,,-18,59542,,1,,$83940.00,$38884.00
2017,1,"Gymboree","Canada","Retail","GY 17 SM4","Summer",,$0.00,$0.00,$0.00,,,,,,,-2,,,,,
2017,1,"Gymboree","Canada","Retail","GY 17 SPR","Spring",4841,$19.78,$11.66,$3.52,,,,,,-9,128277,,5353,,$56465.00,$17036.00
2017,1,"Gymboree","Canada","Retail","GY 17 SPR 1","Spring",2556,$30.72,$21.31,$5.81,,,,,,-14,112292,,12648,,$54457.00,$14847.00
2017,1,"Gymboree","Canada","Retail","GY 17 SPR 2","Spring",2736,$31.96,$22.83,$5.94,,,,,,-8,95257,,7183,,$62454.00,$16250.00
2017,1,"Gymboree","Canada","Retail","GY 17 SPR VAC","Spring",1,$24.95,$25.00,$5.00,,,,,,,-2,,,,$25.00,$5.00
2017,1,"Gymboree","Canada","Retail","GY 17 SPRING BASICS","Basics",2514,$19.90,$12.60,$3.76,,,,,,-5,92352,,510,,$31678.00,$9458.00
2017,1,"Gymboree","Canada","Retail","GY 17 SWIM 1","Spring",625,$32.59,$22.08,$6.62,,,,,,,16177,,,,$13799.00,$4138.00
2017,1,"Gymboree","Canada","Retail","GY YRLY BASICS","Basics",1328,$19.92,$14.17,$4.41,,,,,,-6,60837,,4369,,$18820.00,$5859.00
2017,1,"Gymboree","Canada","Retail","GY YRLY DENIM","Basics",173,$37.73,$28.19,$8.53,,,,,,-2,19681,,1,,$4876.00,$1476.00
2017,1,"Gymboree","Canada","Retail","GY YRLY UNIFORM","Basics",34,$22.95,$9.06,$5.50,,,,,,-1,15141,,6,,$308.00,$187.00
2017,1,"Gymboree","Canada","Retail","Old","Old",39448,$29.80,$12.82,$5.56,,,,,,-137,987612,,153065,1987,$505790.00,$219458.00
2017,1,"Gymboree","Canada","Retail","Winter 17","Winter 17",4061,$29.03,$14.73,$5.14,,,,,,-4,66540,,109,1,$59799.00,$20886.00
2017,1,"Gymboree","USA","Outlet","GY 17 DRSY CAP","Spring",,$0.00,$0.00,$0.00,,,,,,,-2,,,,,
2017,1,"Gymboree","USA","Outlet","GY 17 JAN CAP","Winter",2,$8.95,$5.50,$1.00,,,,,,,-24,,,,$11.00,$2.00
2017,1,"Gymboree","USA","Outlet","GY 17 SM4","Summer",,$0.00,$0.00,$0.00,,,,,,,-1,,,,,
2017,1,"Gymboree","USA","Outlet","GY 17 SMR","Summer",,$0.00,$0.00,$0.00,,,,,,,-2,,,,,
2017,1,"Gymboree","USA","Outlet","GY 17 SPR","Spring",1,$26.95,$16.00,$5.00,,,,,,,-7,,,,$16.00,$5.00
2017,1,"Gymboree","USA","Outlet","GY 17 SPR 1","Spring",,$0.00,$0.00,$0.00,,,,,,,0,,,,,
2017,1,"Gymboree","USA","Outlet","GY 17 SPR 2","Spring",,$0.00,$0.00,$0.00,,,,,,,-1,,,,,
2017,1,"Gymboree","USA","Outlet","GY 17 SPRING BASICS","Basics",,$0.00,$0.00,$0.00,,,,,,,-2,,,,,
2017,1,"Gymboree","USA","Outlet","GY 17 SWIM 1","Spring",,$0.00,$0.00,$0.00,,,,,,,-1,,,,,
2017,1,"Gymboree","USA","Outlet","GY YRLY BASICS","Basics",0,$0.00,$0.00,$0.00,,,,,,,84,,,,$0.00,$0.00
2017,1,"Gymboree","USA","Outlet","GY YRLY DENIM","Basics",1,$29.95,$7.00,$5.00,,,,,,,9,,,,$7.00,$5.00
